NOME FANTASIA,RAZÃO SOCIAL,CNPJ,TIPO,ATIVIDADE,NATUREZA JURÍDICA,PORTE,FATURAMENTO,CAPITAL SOCIAL,QUANT. FUNC.,DATA ABERT.,SÓCIOS,TELEFONE,EMAIL,CIDADE,ESTADO,BAIRRO,CEP,LOGRADOURO,NÚMERO,LOCATION,Lat,Lng,km.res$cluster
Branco Construcoes E Motos,Linaldo Gonzaga De Araujo 85435082404,22.584.654/0001-42,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Lagoa Seca,PB,Zona Rural,,Sítio  Alvinho,,"Sítio  Alvinho, Lagoa Seca - PB",-7.1122234,-35.91005,2
Maria Jose Freire Bronzeado,Maria Jose Freire Bronzeado,01.738.278/0001-23,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Esperança,PB,Centro,,Rua Floriano Peixoto,,"Rua Floriano Peixoto, Esperança - PB",-7.0178117,-35.8610061,4
Mercadinho E Familia,Julia Rodrigues Dantas - Epp,26.766.395/0001-21,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Areia De Baraunas,PB,Centro,,Rua Valdeci Sales,,"Rua Valdeci Sales, Areia De Baraunas - PB",-7.1239633,-36.9493476,4
Mercadinho Turmalina,Genilson Tadeu Dos Santos - Epp,10.922.012/0001-27,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Areia De Baraunas,PB,Centro,,Rua Valdeci Sales,,"Rua Valdeci Sales, Areia De Baraunas - PB",-7.1239633,-36.9493476,4
Saude E Bem Estar,Suilene Maria Da Silva Alves 10428812430,23.443.256/0001-79,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Monteiro,PB,Multirão,,Rua Conjunto Multirao,,"Rua Conjunto Multirao, Monteiro - PB",-7.8915152,-37.1260006,4
Almeida Construcoes Comercio De Ferragens E Tintas Ltda,Almeida Construcoes Comercio De Ferragens E Tintas Ltda,40.979.809/0001-21,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Esperança,PB,Centro,,Rua Solon De Lucena,,"Rua Solon De Lucena, Esperança - PB",-7.0209164,-35.8589783,4
Henrique Flavio Batinga Chaves - Epp,Henrique Flavio Batinga Chaves - Epp,09.261.678/0001-00,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Monteiro,PB,Centro,,Rua Dr. Deocleciano Pereira De Lima,,"Rua Dr. Deocleciano Pereira De Lima, Monteiro - PB",-7.8947648,-37.1176638,4
Inacio Apolinario Do Nascimento - Epp,Inacio Apolinario Do Nascimento - Epp,12.606.695/0001-39,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Barra de Santa Rosa,PB,Centro,,Rua Humberto De Alencar Castelo Branco,,"Rua Humberto De Alencar Castelo Branco, Barra de Santa Rosa - PB",-6.7217118,-36.0599473,4
Ideal Vidros Ltda - Epp,Ideal Vidros Ltda - Epp,15.105.302/0001-00,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Santa Rita,PB,Varzea Nova,,Rua Anesio Alves De Miranda,,"Rua Anesio Alves De Miranda, Santa Rita - PB",-7.135868,-34.9662353,4
Renata Monteiro De Lacerda - Epp,Renata Monteiro De Lacerda - Epp,07.598.119/0001-57,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Aguiar,PB,Zona Urbana,,Loteamento Sítio io Sao Francisco,,"Loteamento Sítio io Sao Francisco, Aguiar - PB",-6.6187181,-38.0948621,4
Iranir Antonio Herminio - Epp,Iranir Antonio Herminio - Epp,24.288.235/0001-99,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Juazeirinho,PB,Centro,,Rua Jose Cosme,,"Rua Jose Cosme, Juazeirinho - PB",-7.0689877,-36.5769747,4
Mercadinho Jacuma,Rejane Maria Nunes De Oliveira - Epp,24.297.913/0001-80,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Conde,PB,Jacumã,,Rua Henidina G Ribeiro,,"Rua Henidina G Ribeiro, Conde - PB",-7.2851318,-34.8020307,4
Helton Comercio De Bicicletas E Motos Ltda - Epp,Helton Comercio De Bicicletas E Motos Ltda - Epp,08.453.483/0001-91,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Caaporã,PB,Centro,,Rua Presidente Costa E Silva,,"Rua Presidente Costa E Silva, Caaporã - PB",-7.5151875,-34.9150781,4
Mercadinho Progresso,J C De Araujo & Cia Ltda - Epp,09.305.178/0001-15,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Soledade,PB,Centro,,Rua Manoel Avelino De Sousa,,"Rua Manoel Avelino De Sousa, Soledade - PB",-7.0586608,-36.3671266,4
Maria Auxiliadora Costa - Epp,Maria Auxiliadora Costa - Epp,09.305.434/0001-74,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Esperança,PB,Centro,,Rua Manuel Rodrigues,,"Rua Manuel Rodrigues, Esperança - PB",-7.0190594,-35.8587647,4
Gizeldo Fernandes Barbosa - Epp,Gizeldo Fernandes Barbosa - Epp,07.637.800/0001-67,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Pombal,PB,Petrópolis,,Rua Severino Rosa Assis,,"Rua Severino Rosa Assis, Pombal - PB",-6.7762627,-37.79807,2
Maria Aparecida Da Costa Barbosa,Maria Aparecida Da Costa Barbosa,01.806.388/0001-85,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Aroeiras,PB,Centro,,Rua Antonio Goncalves,,"Rua Antonio Goncalves, Aroeiras - PB",-7.5454794,-35.7075555,4
Clenilton Bruno Do O Monteiro 01362938408,Clenilton Bruno Do O Monteiro 01362938408,12.664.246/0001-47,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Lagoa Seca,PB,Centro,,Avenida Agusto Felix De Barros,,"Avenida Agusto Felix De Barros, Lagoa Seca - PB",-7.1597393,-35.8563789,4
Edna Gomes Da Silva 06795879429,Edna Gomes Da Silva 06795879429,22.672.500/0001-02,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Monteiro,PB,Centro,,Rua Conjunto Multirao,,"Rua Conjunto Multirao, Monteiro - PB",-7.8915152,-37.1260006,4
Beto Do Mamao,Ana Paula Da Cunha Maia,23.511.252/0001-80,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Conde,PB,Conde,,Rua Guruji,,"Rua Guruji, Conde - PB",-7.2628169,-34.8485852,4
Rafaela Fernanda Nascimento Da Silva 11167385462,Rafaela Fernanda Nascimento Da Silva 11167385462,23.511.895/0001-24,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Monteiro,PB,Centro,,Rua Adamastor Neves,,"Rua Adamastor Neves, Monteiro - PB",-7.8923009,-37.118183,2
N. A. Soares Comercio De Combustiveis Eireli - Epp,N. A. Soares Comercio De Combustiveis Eireli - Epp,25.184.639/0001-03,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Brejo Da Cruz,PB,Centro,,Rua Joao Fernandes,,"Rua Joao Fernandes, Brejo Da Cruz - PB",-6.3459382,-37.4964818,4
Padaria Nossa Senhora De Fatima,Jucima Pereira Do Nascimento 03190450480,21.849.219/0001-30,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cajazeiras,PB,Engenheiro Avidos,,Rua Sebastiao Jose Da Silva,,"Rua Sebastiao Jose Da Silva, Cajazeiras - PB",-6.8897071,-38.5612185,4
Comercial De Balas Triunfo Ltda - Epp,Comercial De Balas Triunfo Ltda - Epp,07.413.589/0001-07,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,,Rua Dr. Antonio De Sa,,"Rua Dr. Antonio De Sa, Campina Grande - PB",-7.2193331,-35.8791075,4
Master Carnes Ltda - Epp,Master Carnes Ltda - Epp,05.065.662/0001-63,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,,Rua Afonso Campos,,"Rua Afonso Campos, Campina Grande - PB",-7.2193398,-35.8816382,4
Classe A Colchoes Ltda - Epp,Classe A Colchoes Ltda - Epp,12.044.487/0001-93,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,,Avenida Floriano Peixoto,,"Avenida Floriano Peixoto, Campina Grande - PB",-7.2285547,-35.9036625,4
Lojao Du Frio Refrigeracoes Ltda - Epp,Lojao Du Frio Refrigeracoes Ltda - Epp,07.019.590/0001-43,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,,Avenida Presidente Getulio Vargas,,"Avenida Presidente Getulio Vargas, Campina Grande - PB",-7.2178311,-35.8913142,4
Gonzalez E Pimentel Ltda - Epp,Gonzalez E Pimentel Ltda - Epp,21.575.499/0001-35,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Catolé,,Rua Ana Firmino Da Costa,,"Rua Ana Firmino Da Costa, Campina Grande - PB",-7.2329404,-35.8817104,4
Giuliane Diniz De Souza - Epp,Giuliane Diniz De Souza - Epp,04.850.614/0001-13,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,,Rua Maciel Pinheiro,,"Rua Maciel Pinheiro, Campina Grande - PB",-7.2176411,-35.883972,2
Motta - Shoes Comercio De Calcados Ltda - Epp,Motta - Shoes Comercio De Calcados Ltda - Epp,05.775.369/0001-90,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Catolé,,Avenida Severino Bezerra Cabral,,"Avenida Severino Bezerra Cabral, Campina Grande - PB",-7.2390598,-35.86361,2
Melhor Gas Ltda - Epp,Melhor Gas Ltda - Epp,05.216.158/0001-17,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Santa Rosa,,Rua Rodrigues Farias,,"Rua Rodrigues Farias, Campina Grande - PB",-7.2358406,-35.9049719,4
Tec Camp Comercio De Produtos Agropecuarios Ltda - Epp,Tec Camp Comercio De Produtos Agropecuarios Ltda - Epp,08.047.757/0001-42,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Bodocongo,,Rua Floripedes Coutinho,,"Rua Floripedes Coutinho, Campina Grande - PB",-7.2219239,-35.9216231,4
Perez Comercio De Produtos Descartaveis Ltda - Epp,Perez Comercio De Produtos Descartaveis Ltda - Epp,12.235.775/0001-25,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Cruzeiro,,Rua Presidente Costa E Silva,,"Rua Presidente Costa E Silva, Campina Grande - PB",-7.2365463,-35.9028056,4
Wg Refrigeracao Eireli - Epp,Wg Refrigeracao Eireli - Epp,07.151.066/0001-21,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Bayeux,PB,Sesi,,Rua Joao Xxiii,,"Rua Joao Xxiii, Bayeux - PB",-7.1249609,-34.9160323,4
J & M Comercio De Confeccoes Ltda - Epp,J & M Comercio De Confeccoes Ltda - Epp,11.378.410/0001-97,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,João Pessoa,PB,Cristo Redentor,,Rua Dom Bosco,,"Rua Dom Bosco, João Pessoa - PB",-7.1535159,-34.8780864,4
Moral Surf Confeccoes Ltda - Epp,Moral Surf Confeccoes Ltda - Epp,09.488.304/0001-14,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,,Avenida Dom Pedro Ii,,"Avenida Dom Pedro Ii, Campina Grande - PB",-7.2187447,-35.8960187,4
Lume Energia Comercio E ServiÇos Ltda - Epp,Lume Energia Comercio E ServiÇos Ltda - Epp,17.561.052/0001-30,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,João Pessoa,PB,Varadouro,,Rua Gama E Melo,,"Rua Gama E Melo, João Pessoa - PB",-7.115565,-34.8882274,4
Somacol Sociedade Comercial De Materiais E Construcoes Ltda - Epp,Somacol Sociedade Comercial De Materiais E Construcoes Ltda - Epp,41.196.502/0001-17,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,João Pessoa,PB,Cidade Universitária,,Rua Inacio Ramos De Andrade,,"Rua Inacio Ramos De Andrade, João Pessoa - PB",-7.1534185,-34.8402296,4
Malhas Sul Comercio De Malhas Ltda - Epp,Malhas Sul Comercio De Malhas Ltda - Epp,35.580.380/0001-65,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,João Pessoa,PB,Centro,,Rua Santo Elias,,"Rua Santo Elias, João Pessoa - PB",-7.1170117,-34.8806275,4
Gustavo Sampaio De Queiroz - Epp,Gustavo Sampaio De Queiroz - Epp,03.520.821/0001-47,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cabedelo,PB,Renascer,,Rua 24 De Junho,,"Rua 24 De Junho, Cabedelo - PB",-7.0715851,-34.8531814,4
Kalculu's Com De Moveis E Maquinas P/Escritorio Ltda - Epp,Kalculu's Com De Moveis E Maquinas P/Escritorio Ltda - Epp,40.980.187/0001-51,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Campina Grande,PB,Centro,,Rua Miguel Couto,,"Rua Miguel Couto, Campina Grande - PB",-7.2255348,-35.8845169,4
Hosp Servicos E Comercio De Maquinas E Equipamentos Medicos Ltda - Epp,Hosp Servicos E Comercio De Maquinas E Equipamentos Medicos Ltda - Epp,19.560.771/0001-61,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Bayeux,PB,São Bento,,Avenida Liberdade,,"Avenida Liberdade, Bayeux - PB",-7.1224175,-34.9145398,4
Jeane Rodrigues Da Silva 08636810426,Jeane Rodrigues Da Silva 08636810426,23.311.706/0001-70,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Guarabira,PB,Nordeste 2,,Rua Jose Americo,,"Rua Jose Americo, Guarabira - PB",-6.8545217,-35.4821613,4
Claudio Distribuidora De Cosmetico,Claudio Luiz De Menezes Vigolvino 59994185420,20.412.462/0001-23,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Guarabira,PB,Cordeiro,,Rua Benedito Fernandes Da Silva,,"Rua Benedito Fernandes Da Silva, Guarabira - PB",-6.8490751,-35.5005571,4
Margil,Marinaldo De Sousa 03146935481,22.836.338/0001-10,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Guarabira,PB,Cordeiro,,Rua Manoel Celeiro,,"Rua Manoel Celeiro, Guarabira - PB",-6.8499091,-35.4989118,4
Maria Das Dores Rodrigues De Andrade 50424750448,Maria Das Dores Rodrigues De Andrade 50424750449,22.042.084/0001-69,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Guarabira,PB,Novo,,Rua Joao Gregorio,,"Rua Joao Gregorio, Guarabira - PB",-6.8453232,-35.4952054,4
Kau Make-Up,Viviany De Souza Alexandre 06591544470,23.008.935/0001-10,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Guarabira,PB,Nações,,Rua Paraguai,,"Rua Paraguai, Guarabira - PB",-6.8494411,-35.4856373,4
Serenissima,Stephanne Karolayne Marinho De Pontes Silva 10849816459,20.639.052/0001-10,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Guarabira,PB,Centro,,Rua Napoleao Laureano,,"Rua Napoleao Laureano, Guarabira - PB",-6.8465986,-35.4938683,4
Alaelson Henriques Da Silva - Epp,Alaelson Henriques Da Silva - Epp,07.601.872/0001-54,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Princesa Isabel,PB,Centro,,Rua Presidente Dutra,,"Rua Presidente Dutra, Princesa Isabel - PB",-7.7311825,-37.994799,2
Baratinho Supermercados Ltda. - Epp,Baratinho Supermercados Ltda. - Epp,13.539.165/0001-88,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Bayeux,PB,Sesi,,Rua Tenente Jose Heleno,,"Rua Tenente Jose Heleno, Bayeux - PB",-7.1215914,-34.9151113,4
Eli Da Silva Santos - Epp,Eli Da Silva Santos - Epp,02.842.422/0001-30,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Guarabira,PB,Faixa da Pista,,Avenida Otacilio Lira Cabral,,"Avenida Otacilio Lira Cabral, Guarabira - PB",-6.8641394,-35.4939005,4
Distribuidora Tropical Ltda - Epp,Distribuidora Tropical Ltda - Epp,01.049.344/0001-58,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cajazeiras,PB,Santa Cecília,,Avenida Comandante Vital Rolim,,"Avenida Comandante Vital Rolim, Cajazeiras - PB",-6.8881509,-38.5532389,4
Mercadinho Santo Antonio,Antonio S Da Silva - Epp,02.365.317/0001-57,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cacimba de Dentro,PB,Centro,,Rua Josias Almeida,,"Rua Josias Almeida, Cacimba de Dentro - PB",-6.6426951,-35.7931224,4
Lima Materiais De Construcao,Givanildo Lima Da Silva - Epp,09.315.786/0001-00,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Mataraca,PB,Bom Jesus,,Rua Projetada,,"Rua Projetada, Mataraca - PB",-6.5910809,-35.0591557,4
Dudu Diesel,Mp Comercio De Derivados De Petroleo Planalto Ltda - Epp,19.251.486/0001-69,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Mamanguape,PB,Centro,,Rua Dom Vital,,"Rua Dom Vital, Mamanguape - PB",-6.8382929,-35.1333121,4
Mercadinho Central Eireli - Epp,Mercadinho Central Eireli - Epp,19.612.262/0001-35,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Bayeux,PB,Rio do Meio,,Rua Sao Marcos,,"Rua Sao Marcos, Bayeux - PB",-7.1346603,-34.932824,2
Jardim Comercio De Gas Ltda - Epp,Jardim Comercio De Gas Ltda - Epp,07.266.934/0001-19,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Bayeux,PB,Aeroporto,,Avenida Epitacio Pessoa,,"Avenida Epitacio Pessoa, Bayeux - PB",-7.1373909,-34.9370947,4
Supermercados Moreira Ltda - Epp,Supermercados Moreira Ltda - Epp,09.153.370/0001-33,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Sousa,PB,Centro,,Rua Basilio Silva,,"Rua Basilio Silva, Sousa - PB",-6.7659502,-38.230786,2
O Barrozao,Posto De Combustiveis E Lubrificantes Sao Luiz Ltda - Epp,03.358.309/0001-46,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Sousa,PB,Andre gadelha,,Rua Monsenhor Vicente De Freitas,,"Rua Monsenhor Vicente De Freitas, Sousa - PB",-6.7538644,-38.2396361,4
Jc Malhas E Bijouterias,Oliveira E Formiga Ltda - Epp,04.408.012/0001-00,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Sousa,PB,Centro,,Rua Sinfronio Nazare,,"Rua Sinfronio Nazare, Sousa - PB",-6.7653588,-38.2285991,4
Impress,Inteligencia Comercio De Equipamentos E Servicos Eireli - Epp,08.060.934/0001-20,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Sousa,PB,Jardim Sorrilandia I,,Rua Raimundo Pereira De Oliveira,,"Rua Raimundo Pereira De Oliveira, Sousa - PB",-6.776454,-38.2349065,4
Sousa Concept Comercio De CalÇados Ltda - Epp,Sousa Concept Comercio De CalÇados Ltda - Epp,23.297.312/0001-04,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Sousa,PB,Centro,,Rua Deocleciano Pires,,"Rua Deocleciano Pires, Sousa - PB",-6.7541958,-38.2281345,4
Zt Comercio E Representacoes Eireli - Epp,Zt Comercio E Representacoes Eireli - Epp,21.271.736/0001-74,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Cajazeiras,PB,Centro,,Rua Joo Pessoa,,"Rua Joo Pessoa, Cajazeiras - PB",-6.8877249,-38.5625031,4
Alipio Supermercado,Andreia Roque De Souza - Epp,02.141.800/0001-58,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Pombal,PB,Centro,,Rua Dos Roques,,"Rua Dos Roques, Pombal - PB",-6.7740104,-37.8024443,4
Auto Posto Jb,Cicera Do Socorro Dos Santos Balbino - Epp,07.590.039/0001-55,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Remígio,PB,Centro,,Rua Antonio Noberto Bruno,,"Rua Antonio Noberto Bruno, Remígio - PB",-6.9710116,-35.8013541,4
Cs Bebidas,Silvaneide Mendes De Lima Silva - Epp,21.281.578/0001-33,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Matureia,PB,Centro,,Rua Jose Jeronimo,,"Rua Jose Jeronimo, Matureia - PB",-7.2650182,-37.3451078,4
Jose Adeilto Alves De Oliveira 45061769449,Jose Adeilto Alves De Oliveira 45061769449,19.493.133/0001-75,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Esperança,PB,Centro,,Rua Joao Mendes,,"Rua Joao Mendes, Esperança - PB",-7.0199668,-35.8617232,4
Farmacia Kageane,Kageane Comercio De Medicamentos Ltda - Epp,21.056.903/0001-64,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Santa Rita,PB,Popular,,Rua Professor Severo Rodrigues,,"Rua Professor Severo Rodrigues, Santa Rita - PB",-7.1300398,-34.9791716,4
Castelinho Box,Leonildo Porto - Epp,02.072.439/0001-55,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Pocinhos,PB,Centro,,Rua Conego Pequeno,,"Rua Conego Pequeno, Pocinhos - PB",-7.076361,-36.0598314,4
Magazine Fama Ltda - Epp,Magazine Fama Ltda - Epp,02.698.845/0001-28,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Alagoinha,PB,Centro,,Rua Jose Americo,,"Rua Jose Americo, Alagoinha - PB",-6.9523252,-35.5462753,4
Divan Moveis,Jose Divan Da Silva Barros - Epp,01.103.807/0001-12,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Queimadas,PB,Centro,,Rua Odilon Almeida Barreto,,"Rua Odilon Almeida Barreto, Queimadas - PB",-7.3656301,-35.9048416,4
Madeireira Sao Jorge Eireli - Epp,Madeireira Sao Jorge Eireli - Epp,03.001.960/0001-64,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Queimadas,PB,Centro,,Rua Eunice Ribeiro,,"Rua Eunice Ribeiro, Queimadas - PB",-7.3624404,-35.9012706,4
Auto Posto Vieira Iii,Pereira ComÉrcio De CombustÍveis Eireli - Epp,24.293.146/0001-30,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Jericó,PB,Centro,,Rua Manoel De Sousa Alves,,"Rua Manoel De Sousa Alves, Jericó - PB",-6.5540802,-37.8037879,4
Auto Posto Gurjao,N. A. Combustiveis Ltda - Epp,41.130.220/0001-17,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Gurjão,PB,Centro,,Avenida Antonio Coutinho,,"Avenida Antonio Coutinho, Gurjão - PB",-7.2468757,-36.4885083,4
Valeria Guimaraes Pereira 04819341464,Valeria Guimaraes Pereira 04819341464,17.227.610/0001-25,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Barra de São Miguel,PB,Centro,,Rua Candido Casteliano,,"Rua Candido Casteliano, Barra de São Miguel - PB",-7.7519393,-36.3168411,4
Mercearia Lins,NapoleÃo Ferreira Lins Filho Eireli - Epp,09.598.228/0001-08,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Alhandra,PB,Centro,,Rua Joao Pessoa,,"Rua Joao Pessoa, Alhandra - PB",-7.4328593,-34.9122859,4
Varejao Ideal,VarejÃo Ideal ComÉrcio De Produtos AlimentÍcios E Hortifrutigranjeiros Ltda - Epp,41.223.769/0001-56,COMÉRCIO,Comércio varejista,-,Pequeno Porte,de R$360 mil até R$3.6 M ,-,-,-,-,-,-,Alhandra,PB,Centro,,Rua Joao Pessoa,,"Rua Joao Pessoa, Alhandra - PB",-7.4328593,-34.9122859,4
